Start,End,Open,High,Low,Close,Volume,Market Cap
2023-07-01,2023-07-05,15.782607158692949,16.152465743537928,15.845137196512292,16.037756843795368,26885273.42769262,310406105.20811576
2023-06-01,2023-07-01,14.545239845871334,16.667944474608028,13.470767634921055,16.365355394660845,25295966.09686695,288081581.7974479
2023-05-01,2023-06-01,15.598327695056513,15.796472395843443,14.333508341262258,14.86612295052607,21212223.50478557,289233941.5365868
2023-04-01,2023-05-01,15.64689128424371,16.855865025744833,14.984702740820087,16.12251272106819,21925785.803272933,306258947.93121374
2023-03-01,2023-04-01,14.416605878139592,17.511274552611276,12.25045918294969,17.097351727143046,33725437.98724145,292599864.48688227
2023-02-01,2023-03-01,14.468197278347771,15.185752582099195,13.637340185309975,13.975886221671873,41225163.81228288,279952699.77373683
2023-01-01,2023-02-01,13.814084750344238,19.85415516343182,13.831978822282558,19.269246759470015,49561546.31844496,320895534.9384974
2022-12-01,2023-01-01,13.25682400791633,14.155809439246909,12.94811833020739,12.972214724934515,27302205.79260043,254511621.58864978
2022-11-01,2022-12-01,13.0388264636525,13.35477422140623,9.94901998929229,10.885842068785283,42681209.66897619,215492143.13900244
2022-10-01,2022-11-01,14.523925549042517,15.612857353062129,13.926928719356646,15.53941627116474,46342904.4782291,282289653.6578617
2022-09-01,2022-10-01,12.750042884858383,14.07400429971013,11.828112403684402,12.114155727076712,42385876.598382525,240748843.2953322
2022-08-01,2022-09-01,13.780922080204581,14.669475571278102,12.066933394039495,12.20804075211792,35890860.91207131,256866245.31875318
2022-07-01,2022-08-01,18.555527845474277,22.222164196269546,18.16238318877608,21.75576716689966,62151270.99250358,381170732.78076684
2022-06-01,2022-07-01,16.24459506604063,16.12275875468864,9.895886250246122,10.786241183153695,31724979.405120827,246090862.29905432
2022-05-01,2022-06-01,13.761344528635385,14.05145188180106,9.803927097437455,11.248318555390274,24467351.28067327,219503829.9583577
2022-04-01,2022-05-01,13.854907696638467,13.62642221699403,11.663916492800277,10.9079791632582,20571691.48262351,237200006.205779
2022-03-01,2022-04-01,14.728994616799067,15.816866633935883,12.881762882741588,15.281170408749102,21681930.640439544,270187214.217433
2022-02-01,2022-03-01,14.304015198914987,16.27205066766362,12.823555880538347,15.424157820603508,23271326.164547138,278801537.6829459
2022-01-01,2022-02-01,12.533471160432349,12.646806166580069,8.983005317227498,10.19508572034089,19871328.81221053,209110162.66089287
2021-12-01,2022-01-01,12.285655623557677,12.362166972404298,9.827702905741932,10.094903443675012,18367725.91176259,200138784.41975883
2021-11-01,2021-12-01,14.269675690171274,15.718862012933144,12.819207080121009,13.147614559182456,18830727.881196246,265582535.3572132
2021-10-01,2021-11-01,14.551390075564854,20.112155014905987,14.503363270582762,18.543370822849916,27299833.061781254,340772739.26483023
2021-09-01,2021-10-01,13.702944500206408,13.922807799778553,11.747194333953589,11.533308406346674,18081024.51672854,242427928.42568672
2021-08-01,2021-09-01,16.38635814846422,18.724590610670596,14.836331986015935,18.355345306304258,24514205.474791013,328310943.85259384
2021-07-01,2021-08-01,15.380355222236144,18.568426320967134,14.06887610831536,19.643410778500947,26251714.7300059,298146444.6424647
2021-06-01,2021-07-01,13.73564415060905,15.081673785056456,11.382861823105907,13.313901565816884,25363211.562426038,256290791.35979512
2021-05-01,2021-06-01,20.793379450659884,20.11379158618795,11.335017248095788,12.632353748972367,34241622.46255628,307784763.9442006
2021-04-01,2021-05-01,30.615348727026277,32.70138233643734,24.72668283169349,29.298693511197204,60439443.242379464,550199188.9223521
2021-03-01,2021-04-01,31.777928647048107,39.31023224916341,31.752383095826314,37.43420062375523,73066174.52113248,678448133.9726905
2021-02-01,2021-03-01,25.18412165491276,42.43702664905348,25.360478350874672,32.74517524963927,95382854.79698576,642029479.6143829
2021-01-01,2021-02-01,38.94165950728112,55.481955309534364,39.75338911163412,45.33802992097048,153231045.44505724,864112637.381642
2020-12-01,2021-01-01,31.9583903820813,46.116364471107495,30.694922763885472,49.130639243014265,104187642.09067042,668983977.741333
2020-11-01,2020-12-01,35.67171116251802,49.85905251844883,34.43709539772817,49.86752609007113,119989909.0325255,783054224.9333149
2020-10-01,2020-11-01,29.951453727161102,37.94072549575211,30.06283260780297,39.08920879639413,70953872.22126882,606487250.4278843
2020-09-01,2020-10-01,27.13638163435497,25.118301051618968,23.267768900580013,22.622553642390994,73275430.1850412,431228902.0881967
2020-08-01,2020-09-01,32.7367817359387,31.677746739803915,31.9388474471773,30.145773932869094,94522176.2935521,593919184.0102642
2020-07-01,2020-08-01,40.491011345203006,49.23801304792085,39.89187119147244,49.15850289483053,90518667.73676233,769968227.4300203
2020-06-01,2020-07-01,40.7853169968402,41.056082225745136,38.665598269359975,36.89817920443318,91277451.17816894,730274426.6819776
2020-05-01,2020-06-01,41.81662593917989,46.11644111178978,40.23740341574474,44.531807960503166,172055941.84178632,801143911.9604317
2020-04-01,2020-05-01,48.265706202473254,69.5788877646858,47.80966134300944,63.799259223656016,229033345.4512085,993699029.6504222
