Start,End,Open,High,Low,Close,Volume,Market Cap
2022-01-01,2022-02-01,46198.20378111831,47869.1107,33111.2351,38472.00623585542,74345941724.00278,782357944654.9382
2021-12-01,2022-01-01,56970.00719815786,58958.8099,44648.3469,46304.9495942002,86203528367.49106,939292619186.7521
2021-11-01,2021-12-01,61290.081559988255,68769.95536854053,53559.31317828634,57030.12565284342,81170969260.47795,1144809268638.3547
2021-10-01,2021-11-01,43767.70376956216,66931.09229192653,43346.020431900426,61339.97564069321,86492149305.03189,1079646405781.1815
2021-09-01,2021-10-01,47131.564,52871.6858,39870.47917463654,43797.59220008473,64687669548.11447,867323514147.4264
2021-08-01,2021-09-01,41582.55975573064,50444.79608877101,37462.49609672439,47225.2696,63704089212.07005,853168571096.1375
2021-07-01,2021-08-01,35019.704840893464,42278.66,29354.71,41700.996741679664,56500304578.50188,641686270955.9437
2021-06-01,2021-07-01,37271.48845183348,41267.29017451398,28899.97,35060.428966375206,66343208141.40908,670386448264.2416
2021-05-01,2021-06-01,57710.513314636,59447.870498163,31282.72036952493,37303.750088697365,98368691734.97015,884198305680.6171
2021-04-01,2021-05-01,58751.790587493,64816.101873759,47199.806670593,57758.646931212,117276834835.32501,1067607773073.1283
2021-03-01,2021-04-01,45109.070026715,61662.205960194,45015.584230531,58719.454369704,109298109517.82246,1014875883883.3495
2021-02-01,2021-03-01,33082.843766076,58301.831486473,32402.29412938,44986.744834586,126255511088.46475,849835751457.6779
2021-01-01,2021-02-01,28938.896887849,41849.906402124,28718.621788419,33136.139470858,113333682582.55823,639120271457.6746
2020-12-01,2021-01-01,19692.233922332,29272.578048891,17604.050116716,28977.96181814,62852011563.68004,403569827104.09247
2020-11-01,2020-12-01,13794.548579995,19802.678916793,13269.505306607,19721.874730214,46676159286.03371,304608646071.07526
2020-10-01,2020-11-01,10777.14188193,13984.749251489,10413.940889279,13795.526547596,25555738790.194016,218440928821.81018
2020-09-01,2020-10-01,11650.160999794,12044.02118838,9893.738057579,10766.814094563,33588922072.71849,197672179489.99948
2020-08-01,2020-09-01,11336.032192675,12394.345021042,10983.149379365,11655.998698678,34169702768.41238,214701383123.70953
2020-07-01,2020-08-01,9136.040257457,11425.720229749,8957.560299802,11334.58546549,20650461135.027863,175656572873.88892
2020-06-01,2020-07-01,9454.105516725,10232.61773952,8942.426190009,9145.560607003,21777954898.313065,174236718076.4937
2020-05-01,2020-06-01,8629.22539759,9995.180686805,8303.339059283,9449.860914083,36376704372.62397,169380812620.29575
2020-04-01,2020-05-01,6419.060999071,9425.798393921,6176.881757456,8607.329832118,30170504012.855053,130899719001.94345
2020-03-01,2020-04-01,8550.541951959,9167.919947157,4003.591031768,6431.262412871,37084961387.55224,126649190899.9889
2020-02-01,2020-03-01,9345.862971879,10458.550677107,8477.509710623,8569.467784718,32670170783.61672,174237170769.3756
2020-01-01,2020-02-01,7196.61464775,9554.568011022,6891.532175446,9336.132884714,25026258014.74851,150018214398.85443
2019-12-01,2020-01-01,7551.709861219,7664.109374944,6455.524825756,7202.624250734,18341629316.17614,131104465759.53087
2019-11-01,2019-12-01,9147.035370281,9465.447836605,6583.225112442,7548.613483041,21313917340.880836,151133845685.53928
2019-10-01,2019-11-01,8286.791705696,10112.45209391,7377.740725355,9154.923648472,18640100277.01987,150464410375.82172
2019-09-01,2019-10-01,9607.181476079,10887.874248649,7773.497353879,8269.028681584,16421823410.038269,175521286484.87463
2019-08-01,2019-09-01,10084.110571105,12193.908318243,9388.612159252,9609.787647368,17598421860.246117,189581916302.64093
2019-07-01,2019-08-01,10908.296655923,13101.374226015,9134.258910507,10080.086121152,21649041035.296486,190302246369.71008
2019-06-01,2019-07-01,8599.053486258,13967.862276815,7623.176900011,10912.255934044,21341263003.48278,166846725358.60648
2019-05-01,2019-06-01,5306.244504059,8991.45418257,5223.551018942,8606.278615403,18604221936.33984,127489424694.58185
2019-04-01,2019-05-01,4199.617439676,5660.855010888,4184.983265552,5305.984482131,12885759334.358862,90932547335.14807
2019-03-01,2019-04-01,3844.921366184,4210.95413776,3733.917481608,4202.588398158,7175611821.13987,69625481426.4994
2019-02-01,2019-03-01,3444.921906726,4172.083234272,3366.804928507,3845.258312799,4596279496.455977,64260795305.595726
2019-01-01,2019-02-01,3747.289081962,4109.513660184,3392.538497169,3447.812768646,3976699612.812591,64724762100.58579
2018-12-01,2019-01-01,4036.229874753,4291.695878947,3188.542616892,3746.123952537,3747294207.342724,64973029315.44463
2018-11-01,2018-12-01,6299.90390737,6546.917804898,3596.00806059,4030.04449364,4009374477.4703517,95286740952.02092
2018-10-01,2018-11-01,6624.023395287,7241.013386934,6218.533471382,6298.837501112,3136620183.500182,112202528176.41553
2018-09-01,2018-10-01,7011.745044966,7399.962839814,6164.499001928,6619.480812488,3557874743.261277,114320170235.8262
2018-08-01,2018-09-01,7744.631395433,7747.417375112,5952.335379774,7018.264049857,3852817308.029985,115886796560.40605
2018-07-01,2018-08-01,6385.423752059,8416.620991015,6129.642442926,7752.144491811,4614616541.871207,121270692722.3458
2018-06-01,2018-07-01,7503.960275241,7711.707126213,5829.901535379,6376.564855317,3324316418.1890173,116408072936.1391
2018-05-01,2018-06-01,9253.083882874,9972.750074274,7108.097718043,7504.038586976,4737470107.406035,144413910839.5878
2018-04-01,2018-05-01,6959.890619635,9745.085959592,6506.022091086,9240.335679495,5136551759.864047,135190480048.94868
2018-03-01,2018-04-01,10423.581475732,11622.503172979,6665.141403198,6955.124517538,4161223960.207829,154352152728.35052
2018-02-01,2018-03-01,10269.843886839,11976.619483523,5963.239119047,10412.024007874,4525249405.87513,159607027640.35278
2018-01-01,2018-02-01,14046.002763769,18578.493142396,9300.527455183,10236.675068931,11550922142.492926,219562424425.91458
2017-12-01,2018-01-01,10215.701153937,19927.185336626,9685.536842903,14033.567993366,11075163138.843386,250648245004.44196
2017-11-01,2017-12-01,6433.49785799,11498.106119672,5614.214077563,10273.825569864,3802486972.657599,129284042477.00446
2017-10-01,2017-11-01,4313.690410394,6443.118173836,4157.650335284,6443.118173836,1638490375.5053437,87561259573.70453
2017-09-01,2017-10-01,4703.39,4975.04,2946.62,4312.820212865,1866753657.8026364,67789355006.28824
2017-08-01,2017-09-01,2875.34,4736.05,2668.59,4704.98,1989740991.6673107,62842980625.08435
2017-07-01,2017-08-01,2480.84,2916.14,1843.03,2872.31,1031631401.4201642,41234709381.284424
2017-06-01,2017-07-01,2286.41,2999.91,2212.96,2483.7,1486022250.730337,43046283535.29437
2017-05-01,2017-06-01,1347.89,2763.71,1347.89,2289.12,1075032137.961438,30729771494.792168
2017-04-01,2017-05-01,1071.79,1347.91,1061.09,1347.91,319643807.389429,19497201845.28492
2017-03-01,2017-04-01,1179.97,1280.31,903.713,1071.45,337335416.8779457,18425843091.87501
2017-02-01,2017-03-01,970.403,1200.39,946.691,1179.74,150395176.53267905,17071405161.981846
