1688601600000,30495.96000000,30528.00000000,30386.82000000,30414.82000000,2128.19673000,1688605199999,64799001.14550330,98201,1047.21654000,31886493.64564450,0
1688605200000,30415.64000000,30482.50000000,30328.18000000,30472.61000000,1829.85341000,1688608799999,55641881.76094150,92786,929.74390000,28271961.36667260,0
1688608800000,30472.85000000,30564.45000000,30453.54000000,30469.04000000,1858.07676000,1688612399999,56667421.93452540,100487,894.15627000,27270562.73710780,0
1688612400000,30469.34000000,30528.60000000,30460.00000000,30492.01000000,1280.94413000,1688615999999,39066628.98390610,68047,628.27734000,19161937.84132320,0
1688616000000,30492.02000000,30543.42000000,30448.60000000,30469.05000000,1815.63105000,1688619599999,55371579.17114550,77284,861.96703000,26288131.45995440,0
1688619600000,30468.29000000,30621.61000000,30439.77000000,30579.06000000,2676.58629000,1688623199999,81717032.32074010,104671,1347.87138000,41154270.39084010,0
1688623200000,30579.46000000,30728.13000000,30550.34000000,30693.44000000,2640.88489000,1688626799999,80905484.13060810,121429,1328.73609000,40707694.56871210,0
1688626800000,30692.09000000,30855.82000000,30681.72000000,30797.70000000,3307.25822000,1688630399999,101800355.89249720,136841,1792.82058000,55186829.99957250,0
1688630400000,30798.47000000,31354.24000000,30779.38000000,31322.55000000,5697.68690000,1688633999999,176826296.63922670,174526,3195.90733000,99181674.45930250,0
1688634000000,31322.74000000,31515.83000000,31021.57000000,31063.84000000,7662.06977000,1688637599999,239759348.01704080,231893,3951.79742000,123643180.40302150,0
1688637600000,31064.39000000,31270.62000000,31054.06000000,31225.82000000,3117.53043000,1688641199999,97067864.00614350,113319,1549.07724000,48235191.13339910,0
1688641200000,31227.18000000,31262.99000000,30690.55000000,30843.70000000,4613.89380000,1688644799999,143069894.92414980,154158,2231.48244000,69190710.39028090,0
1688644800000,30840.84000000,30879.97000000,30490.47000000,30599.76000000,7200.63529000,1688648399999,220860247.95897930,216473,3565.30818000,109362775.06735470,0
1688648400000,30599.19000000,30664.64000000,30305.21000000,30377.39000000,4977.49775000,1688651999999,151937349.30505570,162376,2472.43797000,75472679.25958920,0
1688652000000,30377.38000000,30441.00000000,29887.06000000,30217.46000000,9300.02818000,1688655599999,280414736.37453930,272259,4534.61186000,136727949.49375630,0
1688655600000,30220.75000000,30495.80000000,30076.33000000,30406.77000000,5510.98056000,1688659199999,166919457.27632300,175959,2724.65740000,82530563.34320160,0
1688659200000,30406.74000000,30464.23000000,30158.00000000,30311.02000000,4885.49889000,1688662799999,148158829.71039180,170833,2432.40988000,73762448.68667070,0
1688662800000,30311.54000000,30349.97000000,30204.40000000,30298.88000000,2238.23975000,1688666399999,67760675.17255990,92862,1129.82624000,34204482.31361190,0
1688666400000,30298.88000000,30394.83000000,30207.19000000,30373.54000000,2172.82349000,1688669999999,65817000.44192780,91337,1094.58272000,33157083.98750550,0
1688670000000,30373.01000000,30377.00000000,30252.16000000,30310.93000000,2051.63412000,1688673599999,62161448.10975220,88172,1024.04448000,31026868.25852000,0
1688673600000,30309.57000000,30347.39000000,30250.00000000,30314.99000000,1369.48686000,1688677199999,41482490.47455630,63288,700.66214000,21223621.67168970,0
1688677200000,30314.98000000,30347.41000000,30176.35000000,30223.08000000,1554.75480000,1688680799999,47037774.85514660,67238,750.30262000,22699468.78537490,0
1688680800000,30223.72000000,30269.99000000,30100.00000000,30164.80000000,1536.21622000,1688684399999,46387199.63493810,61781,757.79916000,22882649.60481880,0
1688684400000,30163.65000000,30166.69000000,29846.60000000,29893.79000000,3793.50880000,1688687999999,113785955.37051960,126608,1858.33443000,55742830.60959050,0
